,image_id,gt_logit,eps,fake_iou,perturbation,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,7,0,0.0,False,whitenoise,0.33594298362731934,0.009713172912597656,"[0.8765776826133647, 0.8765776826133647]",6.198883056640625e-05,"[0.8765776753425598, 0.8765777]",0.007908105850219727
1,7,0,0.005,False,whitenoise,0.25092291831970215,0.01878499984741211,"[0.793034629259777, 0.9339613396618677]",8.296966552734375e-05,"[0.8188517093658447, 0.90622115]",0.016017913818359375
2,7,0,0.01,False,whitenoise,0.39619994163513184,0.009287118911743164,"[0.5938308919101128, 1]",6.389617919921875e-05,"[0.6835393905639648, 0.9498256]",0.007565975189208984
3,7,0,0.015,False,whitenoise,0.228348970413208,0.009639978408813477,"[0.3767933022311756, 1]",6.508827209472656e-05,"[0.5048229098320007, 0.9933195]",0.007867097854614258
4,7,0,0.02,False,whitenoise,0.23340082168579102,0.009518146514892578,"[0.21343179727260736, 1]",6.29425048828125e-05,"[0.3482559025287628, 1.0]",0.007768154144287109
5,7,0,0.025,False,whitenoise,0.2282710075378418,0.009638071060180664,"[0.10607624315665144, 1]",6.508827209472656e-05,"[0.22125746309757233, 1.0]",0.007824182510375977
6,7,0,0.03,False,whitenoise,0.2323157787322998,0.009530305862426758,"[0.03900442683729226, 1]",6.413459777832031e-05,"[0.12237358093261719, 1.0]",0.007769107818603516
7,7,0,0.035,False,whitenoise,0.2680330276489258,0.012480020523071289,"[0.005555590750006004, 1]",7.891654968261719e-05,"[0.03155055642127991, 1.0]",0.010038137435913086
8,7,0,0.04,True,whitenoise,0.22994208335876465,0.0013887882232666016,"[0, 1]",0.0,"[0, 1]",0.0
9,7,0,0.045,True,whitenoise,0.2529411315917969,0.0015671253204345703,"[0, 1]",0.0,"[0, 1]",0.0
10,7,0,0.05,True,whitenoise,0.25377702713012695,0.0015139579772949219,"[0, 1]",0.0,"[0, 1]",0.0
